entity,code,year,mental_disorder,prevalence
Brunei,BRN,1990.0,schizophrenia,0.274544
Brunei,BRN,1991.0,schizophrenia,0.273819
Brunei,BRN,1992.0,schizophrenia,0.273212
Brunei,BRN,1993.0,schizophrenia,0.272736
Brunei,BRN,1994.0,schizophrenia,0.272383
Brunei,BRN,1995.0,schizophrenia,0.272228
Brunei,BRN,1996.0,schizophrenia,0.272212
Brunei,BRN,1997.0,schizophrenia,0.272306
Brunei,BRN,1998.0,schizophrenia,0.272442
Brunei,BRN,1999.0,schizophrenia,0.272573
Brunei,BRN,2000.0,schizophrenia,0.272677
Brunei,BRN,2001.0,schizophrenia,0.272725
Brunei,BRN,2002.0,schizophrenia,0.272762
Brunei,BRN,2003.0,schizophrenia,0.272791
Brunei,BRN,2004.0,schizophrenia,0.272799
Brunei,BRN,2005.0,schizophrenia,0.272811
Brunei,BRN,2006.0,schizophrenia,0.272723
Brunei,BRN,2007.0,schizophrenia,0.272504
Brunei,BRN,2008.0,schizophrenia,0.272257
Brunei,BRN,2009.0,schizophrenia,0.272048
Brunei,BRN,2010.0,schizophrenia,0.271971
Brunei,BRN,2011.0,schizophrenia,0.27198
Brunei,BRN,2012.0,schizophrenia,0.272005
Brunei,BRN,2013.0,schizophrenia,0.272054
Brunei,BRN,2014.0,schizophrenia,0.272122
Brunei,BRN,2015.0,schizophrenia,0.272187
Brunei,BRN,2016.0,schizophrenia,0.272262
Brunei,BRN,2017.0,schizophrenia,0.272368
Cambodia,KHM,1990.0,schizophrenia,0.190689
Cambodia,KHM,1991.0,schizophrenia,0.191004
Cambodia,KHM,1992.0,schizophrenia,0.191345
Cambodia,KHM,1993.0,schizophrenia,0.191687
Cambodia,KHM,1994.0,schizophrenia,0.192007
Cambodia,KHM,1995.0,schizophrenia,0.192282
Cambodia,KHM,1996.0,schizophrenia,0.19262
Cambodia,KHM,1997.0,schizophrenia,0.193102
Cambodia,KHM,1998.0,schizophrenia,0.193659
Cambodia,KHM,1999.0,schizophrenia,0.194217
Cambodia,KHM,2000.0,schizophrenia,0.194706
Cambodia,KHM,2001.0,schizophrenia,0.195329
Cambodia,KHM,2002.0,schizophrenia,0.196243
Cambodia,KHM,2003.0,schizophrenia,0.1973
Cambodia,KHM,2004.0,schizophrenia,0.198334
Cambodia,KHM,2005.0,schizophrenia,0.199176
